,Job Title,Annual Salary,Experience,Education,Is Remote,Company Size Scale,Company Old,Revenue Scale,Rating,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance
0,SDET/QA,109200.0,4,1,1,-1,-1,-1,4.7,4.7,4.5,4.7,4.3,4.5
1,QA Automation Engineer,120000.0,4,1,1,1,11,2,4.1,3.4,4.2,4.1,3.5,4.0
3,Jr. QA Analyst,57200.0,1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,Junior Test Engineer,45385.6,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,SDET,113360.0,8,1,1,-1,-1,-1,3.6,3.5,3.3,3.5,3.4,3.7
7,Jr. QA Engineer,75000.0,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,QA Automation Tester,114400.0,6,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,Software QA Engineer,105000.0,5,2,1,2,7,-1,2.8,3.1,3.5,3.0,2.9,3.5
15,QA Engineer,65000.0,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,QA Engineer (US - 100% Remote),90000.0,3,2,0,1,2,-1,5.0,4.9,4.8,4.9,5.0,4.8
17,QA Engineer - Entry level,57200.0,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,QA Analyst,108410.0,2,1,0,5,25,6,3.2,2.9,3.1,3.1,2.8,3.6
20,Automation API Tester,109200.0,10,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,QA Analyst,98800.0,8,2,0,3,10,3,4.3,4.3,4.4,4.4,4.5,4.3
23,QA Analyst,97760.0,4,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,QA Manual Tester,109200.0,3,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,Software Quality Assurance (QA) Engineer,107500.0,3,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,QA Engineer - Remote,92091.0,2,1,0,-1,-1,-1,3.8,3.9,3.2,3.9,3.4,3.2
30,Junior Test Engineer,45385.6,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
77,Quality Assurance Specialist,105040.0,4,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
