,Annual Salary,Experience,Education,Position,Rating,Is Remote,Company Old,Career Opportunities,Comp & Benefits,Culture & Values,Senior Management,Work Life Balance,Job Title_Call Quality Assurance Specialist,Job Title_Customer Care & Social Media Reporting Specialist,Job Title_Customer Operations Specialist,Job Title_Digital Communications Specialist,Job Title_Employee Engagement Specialist,"Job Title_Finance Communications Specialist II, Investor Relations",Job Title_Guest Relations Specialist,Job Title_Marketing Specialist,Job Title_Member Experience Specialist,Job Title_Social Media Specialist (Remote) - Public Relations & Marketing,Job Title_Software and Security Analyst Relations Professional,Job Title_Talent Development Specialist,Job Title_eCommerce Conversion Specialist,Type of Ownership_-1,Type of Ownership_Company - Private,Type of Ownership_Company - Public,Type of Ownership_Hospital,Type of Ownership_Nonprofit Organization,Time Unit_hr,Time Unit_yr,Revenue_-1,Revenue_$1 to $5 billion (USD),Revenue_$10+ billion (USD),Revenue_$100 to $500 million (USD),Revenue_$25 to $100 million (USD),Revenue_$5 to $25 million (USD),Revenue_Unknown / Non-Applicable,Company Size_-1,Company Size_10000+ Employees,Company Size_1001 to 5000 Employees,Company Size_201 to 500 Employees,Company Size_5001 to 10000 Employees,Company Size_501 to 1000 Employees,Location_ CA,Location_ FL,Location_ MA,Location_ NJ,Location_ NY,Location_ PA,Location_ TX,Location_ VA,Location_Remote
0,75000.0,5,1,1,3.3,1,22,3.2,3.1,3.3,3.1,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,51220.0,0,2,1,3.7,0,93,3.8,3.7,3.7,3.3,3.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2,77170.0,0,1,1,4.0,0,138,3.9,4.0,3.8,3.4,4.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3,69067.0,10,1,1,3.7,0,25,2.9,3.6,3.5,3.1,3.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4,56609.0,3,1,1,3.7,0,166,3.7,3.7,3.7,3.1,3.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
5,52000.0,2,1,1,3.9,0,-1,3.7,3.5,3.7,3.4,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,40196.0,3,1,1,4.2,0,67,4.0,4.1,4.3,4.2,4.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7,157790.0,6,1,1,4.2,0,55,4.0,4.0,4.2,3.7,4.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8,57619.0,0,1,1,4.1,0,44,3.9,3.9,4.2,3.8,3.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9,43680.0,0,1,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,51153.0,0,2,-1,3.7,0,113,3.1,2.8,3.3,2.8,3.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11,45760.0,0,2,1,4.0,0,29,3.9,4.1,3.9,3.8,3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
12,75000.0,5,1,1,3.4,0,40,3.1,3.3,3.1,3.0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
